composer,sex,bipoc,race,country,continent,latitude,longitude,born,died
Guy d’Hardelot,F,N,White,Unknown,Europe,,,1858,1936
Guy-Manuel de Homem-Christo,M,N,White,France,Europe,48.88722222,2.2675,1974,
Gwen Stefani,F,N,White,USA,North America,33.8704,-117.9243,1969,
György Kurtág,M,N,White,Unknown,Europe,,,1926,
György Ligeti,M,N,White,Unknown,Europe,,,1923,
Göksel Baktagir,M,Y,BIPOC,Unknown,Unknown,,,1966,
H. Leslie Adams,M,Y,BIPOC,USA,North America,41.49916667,-81.69472222,1932,
Hale Smith,M,Y,BIPOC,USA,North America,41.49916667,-81.69472222,1925,
Hall Davis,M,N,White,USA,North America,30.4475,-91.17861111,,
Hall and Oates,M,N,White,USA,North America,40.2454,-75.6496,1949,
Hans Leo Hassler,M,N,White,Germany,Europe,49.45388889,11.0775,1562,1612
Hans Zimmer & Antonius Tom Holkenborg,M,N,White,Germany,Europe,50.1109,8.6821,1957,
Harold Arlen,M,N,White,USA,North America,42.8869,-78.8789,1905,1986
Harold Melvin & the Blue Notes,M,Y,BIPOC,USA,North America,39.9526,-75.1652,1939,1997
Harriet Abrams,F,N,White,UK,Europe,51.5074,-0.1278,1758,1821
Harriet Waylett,F,N,White,UK,Europe,51.38138889,-2.359722222,1798,1851
Harriett Abrams,F,N,White,UK,Europe,51.5074,-0.1278,1758,1821
Harry T. Burleigh,M,Y,BIPOC,USA,North America,42.12956111,-80.08521389,1866,1949
Harry Burleigh,M,Y,BIPOC,USA,North America,42.12956111,-80.08521389,1866,1949
Harry Warren,M,N,White,USA,North America,40.65083333,-73.94972222,1893,1981
Harvey Schmidt,M,N,White,USA,North America,32.7767,-96.797,1929,
Hector Berlioz,M,N,White,France,Europe,45.39361111,5.260555556,1838,1869
Heinrich Schenker,M,N,White,Ukraine,Europe,49.23305556,25.37027778,1868,1935
Heinrich Schütz,M,N,White,Unknown,Europe,,,1585,1672
Helen Hopekirk,F,N,White,UK,Europe,55.9533,-3.1883,1856,1945
Henri Casadesus,M,N,White,France,Europe,48.88235,2.381822222,1879,1947
Henrik Colding-Jørgensen,M,N,White,Unknown,Europe,,,1954,
Henry Bishop,M,N,White,Italy,Europe,51.50722222,-0.1275,1786,1855
Henry Carey,M,N,White,Italy,Europe,51.50722222,-0.1275,1687,1743
Henry Cowell,M,N,White,USA,North America,37.45416667,-122.1786111,1897,1965
Henry F. Williams,M,N,White,USA,North America,42.36027778,-71.05777778,1837,1901
Henry Mancini,M,N,White,USA,North America,41.49916667,-81.69472222,1924,1994
Henry Purcell,M,N,White,UK,Europe,51.4995,-0.1333,1659,1695
Henry Walter,M,N,White,UK,Europe,,,1988,
Henryk Wieniawski,M,N,White,Poland,Europe,51.25,22.56666667,1835,1880
Herman Bemberg,M,N,White,France,Europe,48.85666667,2.352222222,1859,1931
Hillary Lindsey,F,N,White,USA,North America,33.73680556,-82.73930556,1971,
Hoagy Carmichael,M,N,White,USA,North America,39.16666667,-86.53472222,1899,1981
Horace Silver,M,Y,BIPOC,USA,North America,41.09388889,-73.41972222,1928,
Hortense de Beauharnais,F,N,White,France,Europe,48.85666667,2.352222222,1783,1837
Hozier,M,N,White,Ireland,Europe,53.2028,-6.0983,1990,
Hugo Wolf,M,N,White,Czech Republic,Europe,49.1144,15.6978,1860,1903
Hélène Montgeroult,F,N,White,Unknown,Europe,,,1764,1836
Hélène Riese Liebmann,F,N,White,Unknown,Europe,,,1795,1869
Hélène Tham,F,N,White,Unknown,Unknown,,,1843,1925
Hélène de Montgeroult,F,N,White,Unknown,Europe,,,1764,1836
Ian Gillan,M,N,White,UK,Europe,51.4925,-0.2633,1945,
Ian Paice,M,N,White,UK,Europe,52.955,-1.149166667,1948,
Iggy Azalea,F,N,White,Australia,Oceania,-33.86777778,151.21,1990,
Ignacio Alvarez,M,N,White,Unknown,Unknown,,,1837,1888
Ignatius Sancho,M,Y,BIPOC,Atlantic Ocean,Unknown,1,-25,1729,1780
Igor Stravinsky,M,N,White,Russia,Europe,59.91666667,29.76666667,1882,1971
Irene Cara,F,Y,BIPOC,USA,North America,40.84666667,-73.87333333,1959,
Irving Berlin,M,N,White,Belarus,Europe,54.40972222,29.69361111,1888,1989
Irving Mills,M,N,White,Russia,Europe,46.47747,30.73262,1884,1985
Isaac Albéniz,M,N,White,Unknown,Europe,,,1860,1909
Isabella Colbran,F,N,White,Spain,Europe,40.41694444,-3.703333333,1785,1845
Isabella Ketterer,F,N,White,Unknown,Unknown,,,,
Isabella Leonarda,F,N,White,Italy,Europe,45.45,8.62,1620,1704
Isak Roux,M,N,White,South Africa,Africa,,,1959,
J. C. Fischer,M,N,White,Germany,Europe,47.999,7.8421,1665,1746
J. R. Abbott,F,N,White,India,Asia,22.5675,88.37,,
J. Revaux,M,N,White,France,Europe,47.35,0.85,1940,
J. Rosamond Johnson,M,Y,BIPOC,USA,North America,30.31666667,-81.65,1873,1954
J.C. Fischer,M,N,White,Germany,Europe,50.2167,12.6333,1665,1746
J.F. Schwencke,M,N,White,Germany,Europe,53.5753,10.0153,1792,1852
J.H. Knecht,M,N,White,Germany,Europe,48.0983,9.7886,1752,1817
J.M. Nunes Garcia,M,Y,BIPOC,Brazil,South America,-22.9068,-43.1729,1767,1830
Jacob J. Sawyer,M,Y,BIPOC,Unknown,North America,,,1856,1919
Jacob Sawyer,M,Y,BIPOC,USA,North America,42.36027778,-71.05777778,1856,1885
Jaime,M,Y,BIPOC,USA,North America,34.0522,-118.2437,1975,
James Arthur,M,N,White,UK,Europe,54.57388889,-1.233333333,1988,
James Bland,M,Y,BIPOC,USA,North America,40.76583,-73.833084,1854,1911
James Hanley,M,N,White,USA,North America,42.6434,-73.7423,1892,1942
James Horner,M,N,White,USA,North America,34.0522,-118.2437,1953,
James Myers,M,N,White,USA,North America,39.9526,-75.1652,1919,
James Price Johnson,M,Y,BIPOC,USA,North America,40.48666667,-74.44444444,1894,1955
James P. Johnson,M,Y,BIPOC,USA,North America,40.48666667,-74.44444444,1894,1955
James V. Monaco,M,N,White,Italy,Europe,41.25638889,13.60694444,1885,1945
James Weldon Johnson,M,Y,BIPOC,USA,North America,30.31666667,-81.65,1871,1938
Jan Ladislav Dussek,M,N,White,Czech Republic,Europe,49.9167,15.4,1760,1812
Jane Mary Guest,F,N,White,UK,Europe,51.38138889,-2.359722222,1762,1846
Jane Sloman,F,N,White,UK,Europe,52.05944444,1.155555556,1824,1850
Janina Jełowicka,F,N,White,Unknown,Unknown,,,1840,1865
Jaromír Vejvoda,M,N,White,Unknown,Europe,,,1902,1988
Jason Derulo,M,N,White,USA,North America,25.9861,-80.3036,1989,
Jason Mraz,M,N,White,USA,North America,37.6192,-77.355,1977,
"Jean ""Toots"" Thielemans",M,N,White,Belgium,Europe,50.837,4.346,1922,
Jean Marie Leclair,M,N,White,France,Europe,45.7675,4.835,1697,1764
Jean Philippe Rameau,M,N,White,France,Europe,47.32305556,5.041944444,1683,1764
Jean Sibelius,M,N,White,Finland,Europe,60.9959,24.4643,1865,1957
Jean-Baptiste Loeillet,M,N,White,Belgium,Europe,51.05361111,3.725277778,1680,1730
Jean-Joseph Mouret,M,N,White,France,Europe,43.94861111,4.808333333,1682,1738
Jean-Marie Leclair,M,N,White,France,Europe,45.7675,4.835,1697,1764
Jeanne-Renée de Bombelles Travanet,F,N,White,Unknown,Europe,,,1753,1828
Jeanne‑Renée de Bombelles Travanet,F,N,White,Unknown,Europe,,,1753,1828
Jelly Roll Morton,M,Y,BIPOC,USA,North America,29.9511,-90.0715,1890,1941
Jeremiah Clarke,M,N,White,Italy,Europe,51.50722222,-0.1275,1674,1707
Jerome Kern,M,N,White,USA,North America,40.72833333,-73.99416667,1885,1945
Jerry Leiber,M,N,White,USA,North America,39.28638889,-76.615,1933,
Jess Glynne,F,N,White,Italy,Europe,51.50722222,-0.1275,1989,
Jessie Montgomery,F,Y,BIPOC,USA,North America,40.7128,-74.006,1981,
Jesús Castillo,M,Y,BIPOC,Unknown,North America,,,1877,1946
Jesús González Rubio,M,N,White,Unknown,North America,,,,1874
Jet,Unknown,N,White,Australia,Oceania,-37.8136,144.9631,,
Jim Weatherly,M,N,White,USA,North America,34.2479,-88.9939,1943,
Jimi Hendrix,M,Y,BIPOC,USA,North America,47.605,-122.33,1942,1970
Jimmy Page,M,N,White,UK,Europe,51.484,-0.383,1944,
Joan Tower,F,N,White,USA,North America,40.90861111,-73.78194444,1938,
Joe Garland,M,Y,BIPOC,USA,North America,37.9526,-76.5399,1903,1977
Joel Phillips,M,N,White,USA,North America,,,1958,
Joey Ramone,M,N,White,USA,North America,40.7282,-73.7949,1951,
Johann Anastasius Freylinghausen,M,N,White,Germany,Europe,51.87194444,10.02527778,1670,1739
Johann Anton Andre,M,N,White,Germany,Europe,50.1,8.766666667,1775,1842
Johann C. H. Rinck,M,N,White,Germany,Europe,50.7026,10.8506,1770,1846
Johann C.H. Rinck,M,N,White,Germany,Europe,50.7,10.85,1770,1846
Johann Caspar Fischer,M,N,White,Czech Republic,Europe,50.10929003,12.78630142,1656,1746
Johann Christian Bach,M,N,White,Germany,Europe,51.3406321,12.3747329,1735,1782
Johann Crüger,M,N,White,Unknown,Europe,,,1598,1662
Johann David Heinichen,M,N,White,Germany,Europe,51.11666667,12.01666667,1683,1729
Johann Freylinghausen,M,N,White,Germany,Europe,51.87,10.03,1670,1739
Johann Friedrich Doles,M,N,White,Germany,Europe,50.70055556,10.56666667,1715,1797
Johann Gottfried Walther,M,N,White,Germany,Europe,50.97805556,11.02888889,1684,1748
Johann Helmich Roman,M,N,White,Sweden,Europe,59.32944444,18.06861111,1694,1758
Johann Hermann Schein,M,N,White,Germany,Europe,50.57861111,12.80888889,1586,1630
Johann Hummel,M,N,White,Slovakia,Europe,48.14472222,17.11277778,1778,1837
Johann Jacob Bach,M,N,White,Germany,Europe,50.97472222,10.32444444,1682,1722
Johann Joachim Quantz,M,N,White,Germany,Europe,51.45,9.733055556,1697,1773
Johann Joseph Fux,M,N,White,Austria,Europe,47.06,15.635,1600,1741
Johann Jr. Strauss,M,N,White,Austria,Europe,48.2082,16.3738,1825,1899
Johann Kuhnau,M,N,White,Germany,Europe,50.75805556,13.79111111,1660,1722
Johann Nepomuk Hummel,M,N,White,Slovakia,Europe,48.14472222,17.11277778,1778,1837
Johann Pachelbel,M,N,White,Germany,Europe,,,1653,1706
Johann Philipp Kirnberger,M,N,White,Germany,Europe,50.65055556,11.35416667,1721,1783
Johann Sebastian Bach,M,N,White,Germany,Europe,50.9796,10.3147,1685,1750
Johanna Kinkel,F,N,White,Germany,Europe,50.7374,7.0982,1810,1858
Johannes Brahms,M,N,White,Germany,Europe,53.55,10,1833,1897
Johannes Crüger,M,N,White,Unknown,Europe,,,1598,1662
John Adams,M,N,White,USA,North America,42.2626,-71.8023,1947,
John Bettis,M,N,White,USA,North America,33.76805556,-118.1955556,1946,
John Black,M,N,White,USA,North America,42.3,-71.8,,
John Bull,M,N,White,UK,Europe,51.2094,-2.648,1562,1628
John Cage,M,N,White,USA,North America,34.05223,-118.24368,1912,1992
John Coltrane,M,Y,BIPOC,USA,North America,34.8881,-79.7061,1926,1967
John Corigliano,M,N,White,USA,North America,40.71277778,-74.00611111,1938,
John Dante Prevedini,M,N,White,USA,North America,,,1980,
John Dowland,M,N,White,Italy,Europe,51.50722222,-0.1275,1563,1626
John Dykes,M,N,White,UK,Europe,53.7676,-0.3274,1823,1876
John Fitz Rogers,M,N,White,USA,North America,,,1963,
John Gauntlett,M,N,White,UK,Europe,52.7025,-2.5153,1805,1876
John Hatton,M,N,White,Australia,Oceania,-33.95083333,150.9575,1710,1793
John Kander,M,N,White,USA,North America,39.05,-94.58333333,1927,
John Legend,M,Y,BIPOC,USA,North America,39.92694444,-83.80416667,1978,
John Lennon,M,N,White,UK,Europe,53.40722222,-2.991666667,1940,1980
"John Lennon, Paul McCartney",M,N,White,UK,Europe,53.4084,-2.9916,1940,1980
John Lewis,M,Y,BIPOC,USA,North America,31.80196,-85.967317,1920,
John Newton,M,N,White,Italy,Europe,51.50722222,-0.1275,1725,1807
John Philip Sousa,M,N,White,USA,North America,38.895,-77.03666667,1854,1932
John R. Cash,M,N,White,USA,North America,33.8701,-92.284,1932,
John Stanley,M,N,White,UK,Europe,51.5213,-0.1601,1713,1786
John Stephens,M,Y,BIPOC,USA,North America,39.9242,-83.8088,1978,
John Tavener,M,N,White,Italy,Europe,51.50722222,-0.1275,1944,
John W. Jr. Work,M,Y,BIPOC,USA,North America,36.1627,-86.7816,1872,1925
John Williams,M,N,White,USA,North America,40.7237,-73.7049,1932,
John Work,M,Y,BIPOC,USA,North America,36.16222222,-86.77444444,1901,1967
Jon Bon Jovi,M,N,White,USA,North America,40.51944444,-74.27527778,1962,
Jon Hendricks,M,N,White,USA,North America,40.063014,-82.416779,1921,
Jon Lind,M,N,White,USA,North America,40.71277778,-74.00611111,1948,
Jon Lord,M,N,White,UK,Europe,52.63611111,-1.133055556,1941,
Jonathan Larson,M,N,White,USA,North America,41.033,-73.7629,1960,1996
Josef Strauss,M,N,White,Austria,Europe,48.2082,16.3738,1827,1870
Joseph Bodin Boismortier,M,N,White,France,Europe,49.3571,6.1689,1689,1755
"Joseph Bologne, Chev. de Saint-Georges",M,Y,BIPOC,Guadeloupe,North America,16.0207,-61.7469,1745,1799
Joseph Boulogne,M,Y,BIPOC,Guadeloupe,North America,16.0207,-61.7469,1745,1799
"Joseph Bologne, Chevalier de Saint-Georges",M,Y,BIPOC,Guadeloupe,North America,16.0207,-61.7469,1745,1799
Joseph Kosma,M,N,White,Hungary,Europe,47.4979,19.0402,1905,1969
Joseph McCarthy,M,N,White,USA,North America,44.28166667,-88.43805556,1885,1943
Joseph Shabalala,M,Y,BIPOC,South Africa,Africa,-28.55388889,29.7825,1941,
Joseph Straus,M,N,White,Italy,Europe,45.65027778,13.77027778,1943,
Joseph W. Postlewaite,M,N,White,USA,North America,38.62638889,-90.19944444,1827,1889
Josepha Barbara Aurnhammer,F,N,White,Austria,Europe,48.2082,16.3738,1758,1820
Josepha Müllner‑Gollenhofer,F,N,White,Austria,Europe,48.2081,16.3713,1768,1843
Josephine Auernhammer,F,N,White,Austria,Europe,48.2082,16.3738,1758,1820
Josephine Aurnhammer,F,N,White,Austria,Europe,48.20833333,16.3725,1758,1820
Josephine Lang,F,N,White,Germany,Europe,48.1375,11.575,1815,1880
Joshua Uzoigwe,M,Y,BIPOC,Nigeria,Africa,5.532,7.486,1946,
Josquin des Prez,M,N,White,France,Europe,49.99638889,3.308888889,1440,1521
José André,M,N,White,Unknown,South America,,,1881,1944
José Manuel Jiménez Berroa,M,Y,BIPOC,Unknown,North America,,,1851,1917
José Maurício Nunes Garcia,M,N,White,Unknown,South America,,,1767,1830
José Silvestre White,M,Y,BIPOC,Unknown,North America,,,1896,1954
Journey,Unknown,N,White,USA,North America,37.7749,-122.4194,,
Joyce Solomon,F,N,White,USA,North America,,,1950,
Juan Alais,M,N,White,Argentina,South America,-34.59972222,-58.38194444,1844,1914
Juan Bautista Alberdi,M,N,White,Argentina,South America,-26.81666667,-65.21666667,1810,1884
Juan Enrique Amelong,M,N,White,Argentina,South America,,,1814,1906
Juan Tizol,M,Y,BIPOC,USA,North America,18.44611111,-66.3875,1900,1984
Judith Ribas,F,N,White,Portugal,Europe,38.7,-9.183333333,,
Jule Styne,M,N,White,Italy,Europe,51.50722222,-0.1275,1905,1994
Jules Massenet,M,N,White,France,Europe,45.43388889,4.389722222,1842,1912
Julian Adderley,M,Y,BIPOC,USA,North America,27.9475,-82.45861111,1928,1975
Julie Baroni-Cavalcabò,F,N,White,Unknown,Europe,,,1813,1887
Julie Candeille,F,N,White,France,Europe,48.85666667,2.352222222,1767,1834
Julie Pinel,F,N,White,France,Europe,48.8566,2.3522,1690,1737
Julien Monette,M,N,White,Canada,North America,,,,
Julián Aguirre,M,N,White,Unknown,South America,,,1868,1924
Jump Little Children,M,N,White,USA,North America,34.0007,-81.0348,1970,
Justin Bieber,M,N,White,Canada,North America,42.9837,-81.2497,1994,
Justin Holland,M,Y,BIPOC,USA,North America,36.8529,-76.2859,1819,1887
Kaija Saariaho,F,N,White,Finland,Europe,60.17083333,24.9375,1952,
Karl Heinrich Graun,M,N,White,Germany,Europe,51.625,13.149,1704,1759
Karlheinz Stockhausen,M,N,White,Germany,Europe,50.9,6.716666667,1928,
Katharine Lee Bates,F,N,White,USA,North America,41.5512,-70.6101,1859,1929
Katrina Leskanich,F,N,White,USA,North America,39.0473,-95.6752,1960,
Katy Perry,F,N,White,USA,North America,34.4203,-119.6989,1984,
Kendrick Lamar,M,Y,BIPOC,USA,North America,33.89666667,-118.225,1987,
Kenneth Bernard Miller,M,N,White,USA,North America,,,,
Kenneth Maue,M,N,White,USA,North America,,,,
Kenneth Miller,M,N,White,USA,North America,,,,
Kenny Kirkland,M,Y,BIPOC,USA,North America,40.71277778,-74.00611111,1955,1998
Kent Kennan,M,N,White,USA,North America,43.05,-87.95,1913,
Kesha,F,N,White,USA,North America,34.0522,-118.2437,1987,
Klementyna Hoffmann,F,N,White,Poland,Europe,52.23,21.011,1817,1845
Knud Jeppesen,M,N,White,Denmark,Europe,55.67611111,12.56888889,1892,1974
Koji Kondo,M,Y,BIPOC,Japan,Asia,35.18138889,136.9063889,1961,
Kristen Anderson-Lopez,F,N,White,USA,North America,40.7831,-73.9712,1972,
Krzysztof Penderecki,M,N,White,Poland,Europe,50.05146,21.41141,1933,
Kurt Cobain,M,N,White,USA,North America,46.9754,-123.8157,1967,1994
L. Viola Kinney,F,Y,BIPOC,USA,North America,38.70983333,-93.22955556,1890,1945
LIU Wenjin,M,Y,BIPOC,China,Asia,39.62944444,118.1738889,1937,
LMFAO,Unknown,N,White,USA,North America,34.0522,-118.2437,1975,
La Monte Young,M,N,White,Switzerland,Europe,46.9481,7.4474,1935,
Lady Sempill,F,N,White,UK,Europe,,,,
Lalo Schifrin,M,N,White,Argentina,South America,-34.59972222,-58.38194444,1932,
Lamont Dozier,M,Y,BIPOC,USA,North America,42.33166667,-83.0475,1941,
"Lamont Dozier, Brian Holland, Eddie Holland",M,Y,BIPOC,USA,North America,42.3314,-83.0458,1941,
Latch & Sam Smith,Unknown,N,White,UK,Europe,51.5074,-0.1278,,
Led Zeppelin,M,N,White,UK,Europe,52.5187,-1.9952,1948,
Lee Morgan,M,Y,BIPOC,USA,North America,39.95277778,-75.16361111,1938,1972
Leonard Bernstein,M,N,White,USA,North America,42.70694444,-71.16333333,1918,1990
Leonard Lipton,M,N,White,USA,North America,40.65083333,-73.94972222,1940,
Leonora Orsini,F,N,White,Italy,Europe,41.9028,12.4964,1560,1634
Leopold Mozart,M,N,White,Germany,Europe,48.36888889,10.89777778,1719,1787
Leopoldine Blahetka,F,N,White,Austria,Europe,47.8761,15.8933,1809,1885
Libby Larsen,F,N,White,USA,North America,39.74833333,-75.55138889,1950,
Lili Boulanger,F,N,White,France,Europe,48.85666667,2.352222222,1893,1918
Lin-Manuel Miranda,M,Y,BIPOC,USA,North America,40.7128,-74.006,1980,
Lionel Hampton,M,N,White,USA,North America,38.25611111,-85.75138889,1908,
Lionel Richie,M,N,White,USA,North America,32.431506,-85.706781,1949,
Liza Minnelli,F,N,White,USA,North America,34.0522,-118.2437,1946,
Lizzie Tourjée,F,N,White,Unknown,North America,,,1856,1913
Lorenz Hart,M,N,White,USA,North America,40.80903333,-73.94837222,1895,1943
Lou Shu-hua,M,Y,BIPOC,China,Asia,,,1907,1952
Louis Bourgeois,F,N,White,France,Europe,48.85666667,2.352222222,1510,1561
Louis Moreau Gottschalk,M,Y,BIPOC,USA,North America,29.97611111,-90.07833333,1829,1869
Louis Spohr,M,N,White,Germany,Europe,52.26916667,10.52111111,1784,1859
Louise Farrenc,F,N,White,France,Europe,48.85666667,2.352222222,1804,1875
Louise Reichardt,F,N,White,Germany,Europe,52.51666667,13.38333333,1779,1826
Lowell Mason,M,N,White,USA,North America,42.1875,-71.30694444,1792,1872
Luciano Berio,M,N,White,Italy,Europe,43.88646667,8.029652778,1925,
Lucien Lambert,M,Y,BIPOC,France,Europe,48.8867,2.3153,1858,1945
Lucille Grétry,M,N,White,Unknown,Europe,,,1741,1813
Ludwig van Beethoven,M,N,White,Austria,Europe,48.2081,16.3713,1770,1825
Luigi Boccherini,M,N,White,Italy,Europe,43.85,10.51666667,1743,1805
Luigi Dallapiccola,M,N,White,Croatia,Europe,45.23916667,13.93861111,1904,1975
Luigi Nono,M,N,White,Italy,Europe,45.43972222,12.33194444,1924,1990
Luis A. Calvo,M,N,White,Colombia,South America,5.946388889,-73.34388889,1882,1945
Luis Alfonso,M,Y,BIPOC,Unknown,Unknown,,,1978,
Luis Enrique Bacalov,M,Y,BIPOC,Argentina,South America,-34.59972222,-58.38194444,1933,
Luis Fonsi,M,Y,BIPOC,Puerto Rico,North America,18.4153,-66.0594,1978,
Luise Adolpha Le Beau,F,N,White,Germany,Europe,48.85722222,8.203055556,1837,1879
Lukasz Gottwald,M,N,White,USA,North America,41.82399,-71.41283,1973,
Luís Álvares Pinto,M,Y,BIPOC,Unknown,South America,,,1719,1789
M. Müller,F,N,White,Unknown,Unknown,,,1878,1941
MAGIC!,M,N,White,Canada,North America,43.6532,-79.3832,1981,
MGMT,M,N,White,USA,North America,38.9517,-92.3341,1983,
Maceo Pinkard,M,Y,BIPOC,USA,North America,37.26222222,-81.21861111,1897,1962
Macklemore & Ryan Lewis,Unknown,N,White,USA,North America,47.6062,-122.3321,,
Maddalena Casulana,F,N,White,Italy,Europe,43.34111111,11.0485,1544,1590
Maddalena Lombardini Sirmen,F,N,White,Italy,Europe,45.4408,12.3155,1745,1818
Malcolm Goldstein,M,N,White,USA,North America,40.71277778,-74.00611111,1936,
Manuel Dias de Oliveira,M,Y,BIPOC,Brazil,South America,-18.5122,-44.555,1765,1837
Manuel de Falla,M,N,White,Spain,Europe,36.535,-6.2975,1876,1946
Marcos Coelho Neto,M,Y,BIPOC,Brazil,South America,-20.3859,-43.5035,1763,1823
Margaret Bonds,F,Y,BIPOC,USA,North America,41.88194444,-87.62777778,1913,1972
Margaret Casson,F,N,White,UK,Europe,,,1775,1999
Maria Antonia Josepha Johanna,F,N,White,Austria,Europe,48.20638889,16.36527778,1755,1793
Maria Cosway,F,N,White,Italy,Europe,43.5485,10.3106,1760,1838
Maria Frances Parke,F,N,White,UK,Europe,51.5074,-0.1278,1775,1822
Maria Hester Park,F,N,White,UK,Europe,51.5556,0.1762,1760,1813
Maria Teresa Agnesi,F,N,White,Italy,Europe,45.4685,9.1824,1724,1795
Maria Teresa Pinottini,F,N,White,Italy,Europe,45.4654,9.1866,1726,1750
Maria Theresia von Paradis,F,N,White,Austria,Europe,48.20833333,16.3725,1759,1824
Maria Tiddeman,F,N,White,UK,Europe,,,1837,1915
Maria Wilbraham,F,N,White,UK,Europe,,,1751,1833
Maria Wolowska Szymanowska,F,N,White,Poland,Europe,52.23,21.01111111,1789,1831
Maria Xaviera Peruchona,F,N,White,Italy,Europe,45.4468,8.6215,1652,1709
Marianna Martines,F,N,White,Austria,Europe,48.20833333,16.3725,1744,1812
Marianne Auenbrugger,F,N,White,Austria,Europe,48.20833333,16.3725,1759,1782
Marianne Martínez,F,N,White,Unknown,Europe,,,,
Marie Emmanuelle Bayon,F,N,White,France,Europe,48.5833,-0.25,1746,1825
Marie Jaëll,F,N,White,Unknown,Europe,,,1846,1925
Marie-Elizabeth Cléry,F,N,White,Unknown,Europe,,,1762,1811
Marie-Thérèse-Louise Benaut,F,N,White,Unknown,Europe,,,1778,1795
Mario Davidovsky,M,N,White,Argentina,South America,-38.81666667,-62.66666667,1934,
Mark Gotham,M,N,White,UK,Europe,,,1987,
Mark Ronson,M,N,White,Italy,Europe,51.50722222,-0.1275,1975,
Maroon 5,Unknown,N,White,USA,North America,34.0522,-118.2437,,
Marvin Gaye,M,Y,BIPOC,USA,North America,38.895,-77.03666667,1939,1984
Mary Anguera,F,N,White,Unknown,Unknown,,,1834,1922
Mary Gossell,F,N,White,Unknown,Unknown,,,,
Mary Lyle,F,N,White,Ireland,Europe,,,1820,1882
Mary Southcote,F,N,White,UK,Europe,,,,
Mathilde Heim‑Brem,F,N,White,Unknown,Unknown,,,1856,1886
Mathilde Kralik,F,N,White,Austria,Europe,48.30583333,14.28638889,1857,1944
Mathilde Marchesi,F,N,White,France,Europe,50.11055556,8.682222222,1821,1913
Maurice Ravel,M,N,White,France,Europe,43.38527778,-1.667777778,1875,1937
Maurice White,M,Y,BIPOC,USA,North America,35.14611111,-90.05194444,1941,
Mauro Giuliani,M,N,White,Italy,Europe,41.24093333,16.50206111,1781,1829
Mauro Nuñez,M,Y,BIPOC,Unknown,South America,,,1899,1975
Max Freedman,M,N,White,USA,North America,39.95277778,-75.16361111,1893,1962
Max Martin,M,N,White,Sweden,Europe,59.35811111,17.70761111,1971,
Maxwell Tfirn,M,N,White,Unknown,Unknown,,,1989,
Mayme Watts,F,Y,BIPOC,USA,North America,,,1928,
Meghan Trainor,F,N,White,USA,North America,41.276756,-70.090889,1993,
Mel Bonis,F,N,White,France,Europe,48.85666667,2.352222222,1858,1937
Meredith Willson,M,N,White,USA,North America,42,-93,1902,1984
Metallica,M,N,White,USA,North America,33.9401,-118.1332,1963,
Michael Bublé,M,N,White,Unknown,North America,,,1975,
Michael Giacchino,M,N,White,USA,North America,40.0357,-74.9558,1967,
Michael Jackson,M,Y,BIPOC,USA,North America,41.58083333,-87.34555556,1958,
"Michael Jackson, Lionel Richie et al.",M,Y,BIPOC,USA,North America,41.5934,-87.3464,1958,
Michael Masser,M,N,White,USA,North America,41.88194444,-87.62777778,1941,
Michael Pollack,M,N,White,Austria,Europe,48.20833333,16.3725,1994,
Michael Praetorius,M,N,White,Germany,Europe,51.05138889,10.24472222,1571,1621
Michael Ryan,M,N,White,USA,North America,37.8715,-122.273,1972,
Michel Corrette,M,N,White,France,Europe,49.44305556,1.1025,1707,1795
Mike Love,M,N,White,USA,North America,34.0522,-118.2437,1941,
Mike Stoller,M,N,White,USA,North America,40.7891,-73.135,1933,
Mikhail Glinka,M,N,White,Russia,Europe,54.37416667,33.12555556,1804,1857
Mildred & Patty Hill,F,N,White,USA,North America,38.2527,-85.7585,1859,1916
Mildred Hill,F,N,White,USA,North America,38.2527,-85.7585,1859,1916
Miles Davis,M,Y,BIPOC,USA,North America,38.90028,-90.15972,1926,1991
Miley Cyrus,F,N,White,USA,North America,36.16222222,-86.77444444,1992,
Milton Babbitt,M,N,White,USA,North America,39.95277778,-75.16361111,1916,
Minor R. Estrada,M,Y,BIPOC,USA,North America,,,1984,
Modest Petrovich Mussorgsky,M,N,White,Russia,Europe,56.28111111,31.2825,1839,1881
Morton Feldman,M,N,White,USA,North America,40.71277778,-74.00611111,1926,1987
Mrs. J. R. Abbott,F,N,White,Unknown,Unknown,,,,
Muse,M,N,White,UK,Europe,52.2053,0.1218,1978,
Muzio Clementi,M,N,White,Italy,Europe,41.89305556,12.48277778,1752,1832
MØ,F,N,White,Unknown,Europe,,,1988,
Mélanie Hélène Bonis,F,N,White,Unknown,Europe,,,1858,1937
Nate Ruess,M,N,White,USA,North America,41.6611,-91.5302,1982,
Neil Young,M,N,White,Canada,North America,43.67027778,-79.38666667,1945,
Niccolò Jommelli,M,N,White,Unknown,Europe,,,1714,1774
Niccolò Paganini,M,N,White,Italy,Europe,44.40718611,8.933983333,1782,1840
Nicki Minaj,F,Y,BIPOC,Trinidad and Tobago,North America,10.699,-61.549,1982,
Nicolas Dalayrac,M,N,White,France,Europe,43.46027778,1.325833333,1753,1809
Nikolai Rimsky-Korsakov,M,N,White,Russia,Europe,59.64416667,33.54222222,1844,1908
